id,name,src,rgb
AMD-7000-221,AUBERGINE,AMD-7000-221.jpg,"(57, 42, 60)"
AMD-7000-222,REDWOOD,AMD-7000-222.jpg,"(178, 63, 33)"
AMD-7000-224,EVERGREEN,AMD-7000-224.jpg,"(42, 62, 34)"
AMD-7000-228,LAPIS,AMD-7000-228.jpg,"(92, 186, 231)"
AMD-7000-233,BERRY,AMD-7000-233.jpg,"(47, 23, 41)"
AMD-7000-240,HOLLY,AMD-7000-240.jpg,"(40, 74, 38)"
AMD-7000-241,SEAFOAM,AMD-7000-241.jpg,"(200, 242, 222)"
AMD-7000-243,CERULEAN,AMD-7000-243.jpg,"(5, 144, 127)"
AMD-7000-248,MARINE,AMD-7000-248.jpg,"(40, 55, 94)"
AMD-7000-249,CROCUS,AMD-7000-249.jpg,"(105, 32, 82)"
AMD-7000-251,HELIOTROPE,AMD-7000-251.jpg,"(103, 32, 96)"
AMD-7000-253,BOYSENBERRY,AMD-7000-253.jpg,"(95, 40, 75)"
AMD-7000-255,ROOT BEER,AMD-7000-255.jpg,"(126, 42, 14)"
AMD-7000-257,CARIBBEAN,AMD-7000-257.jpg,"(18, 106, 123)"
AMD-7000-261,VEGGIE,AMD-7000-261.jpg,"(92, 135, 82)"
AMD-7000-265,PARCHMENT,AMD-7000-265.jpg,"(221, 190, 127)"
AMD-7000-268,NATURE,AMD-7000-268.jpg,"(111, 117, 85)"
AMD-7000-269,PARK,AMD-7000-269.jpg,"(5, 80, 52)"
AMD-7000-270,MEADOW,AMD-7000-270.jpg,"(187, 188, 126)"
AMD-7000-271,SEPIA,AMD-7000-271.jpg,"(165, 98, 37)"
AMD-7000-273,OREGANO,AMD-7000-273.jpg,"(212, 226, 130)"
AMD-7000-277,WINTER,AMD-7000-277.jpg,"(211, 222, 216)"
AMD-7000-279,RAIN,AMD-7000-279.jpg,"(3, 89, 112)"
AMD-7000-281,POMEGRANATE,AMD-7000-281.jpg,"(134, 43, 68)"
AMD-7000-289,LT. BLUE,AMD-7000-289.jpg,"(148, 224, 247)"
AMD-7000-290,ASH,AMD-7000-290.jpg,"(200, 205, 195)"
AMD-7000-295,IRON,AMD-7000-295.jpg,"(72, 87, 91)"
AMD-7000-296,KUMQUAT,AMD-7000-296.jpg,"(251, 74, 11)"
AMD-7000-299,RIVIERA,AMD-7000-299.jpg,"(3, 99, 139)"
AMD-7000-300,STORM,AMD-7000-300.jpg,"(32, 54, 53)"
AMD-7000-301,AZALEA,AMD-7000-301.jpg,"(252, 143, 193)"
AMD-7000-302,POPPY,AMD-7000-302.jpg,"(251, 59, 45)"
AMD-7000-304,SHADOW,AMD-7000-304.jpg,"(88, 115, 111)"
AMD-7000-305,GRAPHITE,AMD-7000-305.jpg,"(153, 160, 162)"
AMD-7000-309,BAMBOO,AMD-7000-309.jpg,"(77, 63, 41)"
AMD-7000-322,ORANGE SPICE,AMD-7000-322.jpg,"(228, 70, 41)"
AMD-7000-323,WALNUT,AMD-7000-323.jpg,"(131, 97, 54)"
