id,name,src,rgb
PE-402,Cozumel Blue,PE-402_150px.jpg,"(0, 171, 162)"
PE-511,Dragon Fruit,PE-511-Dragon-Fruit.jpg,"(155, 40, 73)"
PE-421,Honey,PE-421_150px.jpg,"(212, 160, 77)"
PE-403,Fresh Water,PE-403_150px.jpg,"(160, 209, 206)"
PE-405,Cherry Lipgloss,PE-405_150px.jpg,"(204, 59, 92)"
PE-406,Burnt Orange,PE-406_150px.jpg,"(218, 120, 55)"
PE-407,Empire Yellow,PE-407_150px.jpg,"(212, 183, 57)"
PE-408,Temporarily out of stock  White Linen,PE-408_150px.jpg,"(241, 240, 219)"
PE-409,Light Citron,PE-409_150px.jpg,"(226, 231, 141)"
PE-410,Ash,PE-410_150px.jpg,"(154, 156, 153)"
PE-411,Quartz Pink,PE-411_150px.jpg,"(241, 175, 177)"
PE-412,Tender Green,PE-412_150px.jpg,"(193, 215, 192)"
PE-413,Caviar,PE-413_150px.jpg,"(29, 29, 31)"
PE-414,Dark Citron,PE-414_150px.jpg,"(157, 166, 73)"
PE-415,Parisian Blue,PE-415_150px.jpg,"(81, 124, 169)"
PE-416,Lemonade,PE-416_150px.jpg,"(211, 217, 95)"
PE-417,Emerald,PE-417_150px.jpg,"(4, 165, 133)"
PE-418,Tile Blue,PE-418_150px.jpg,"(5, 124, 144)"
PE-419,Light Grey,PE-419_150px.jpg,"(212, 213, 195)"
PE-420,Crystal Pink,PE-420_150px.jpg,"(247, 199, 199)"
PE-422,Chocolate,newPE-422-Chocolate.jpg,"(104, 62, 40)"
PE-423,Appletini,PE-423-Appletini_150px.jpg,"(183, 186, 107)"
PE-424,Mirage Blue,PE-424-MirageBlue_150px.jpg,"(109, 191, 187)"
PE-425,Mauvelous,newPE-425-Mauvelous.jpg,"(199, 164, 171)"
PE-426,Apricot Crepe,PE-426-ApricotCrepe_150px.jpg,"(245, 166, 133)"
PE-427,Spiceberry,PE-427-Spiceberry_150px.jpg,"(152, 45, 75)"
PE-428,Nocturnal,PE-428-Nocturnal.jpg,"(24, 32, 45)"
PE-429,Coffee Bean,PE-429-CoffeeBean_150px.jpg,"(78, 63, 58)"
PE-430,Moonstone,PE-430-Moonstone.jpg,"(84, 83, 81)"
PE-431,Mystic Grey,PE-431-MysticGrey_150px.jpg,"(192, 190, 191)"
PE-432,Temporarily out of stock  Sandstone,PE-432-Sandstone_150px.jpg,"(217, 204, 188)"
PE-434,Tranquil Waters,PE-434-TranquilWaters-150px.jpg,"(163, 207, 220)"
PE-435,Banana Cream,PE-435-BananaCream_150px.jpg,"(255, 204, 86)"
PE-433,Snow,PE-433-Snow_150px.jpg,"(255, 255, 255)"
PE-440,Macchiatto,PE-440-Macchiatto.jpg,"(193, 166, 137)"
PE-441,Blueberry Zest,PE-441-Blueberry-Zest.jpg,"(89, 92, 123)"
PE-442,Ocean Waves,PE-442-Ocean-Waves.jpg,"(114, 157, 164)"
PE-443,Sweet Mint,PE-443-Sweet-Mint.jpg,"(219, 235, 199)"
PE-444,Peach Sherbet,PE-444-Peach-Sherbet.jpg,"(253, 203, 166)"
PE-445,Mink,PE-445-Mink.jpg,"(148, 131, 111)"
PE-446,Honeydew,PE-446-Honeydew.jpg,"(244, 229, 136)"
PE-447,Patina Green,PE-447--Patina-Green.jpg,"(143, 153, 101)"
PE-448,Canary,PE-448-Canary.jpg,"(251, 209, 47)"
PE-449,Mandarin,PE-449-Mandarin.jpg,"(245, 164, 85)"
PE-450,Grapefruit,PE-450-Grapefruit.jpg,"(247, 154, 136)"
PE-451,Icy Mint,PE-451-Icy-Mint.jpg,"(207, 233, 222)"
