id,name,src,rgb
K001-493,LIMELIGHT,K001-493.jpg,"(199, 201, 74)"
K001-494,MALIBU,K001-494.jpg,"(5, 117, 187)"
K001-495,MORNING GLORY,K001-495.jpg,"(138, 98, 167)"
K001-496,NECTARINE,K001-496.jpg,"(246, 103, 67)"
K001-497,NIAGARA,K001-497.jpg,"(76, 195, 232)"
K001-498,PARROT,K001-498.jpg,"(99, 190, 34)"
K001-499,SCONE,K001-499.jpg,"(225, 201, 137)"
K001-500,TITANIUM,K001-500.jpg,"(139, 149, 158)"
K001-1039,BORDEAUX,K001-1039.jpg,"(105, 10, 54)"
K001-1099,DEEP ROSE,K001-1099.jpg,"(180, 63, 83)"
K001-1205,LT. PARFAIT,K001-1205.jpg,"(251, 224, 196)"
K001-1215,MAHOGANY,K001-1215.jpg,"(91, 49, 45)"
K001-1237,MOCHA,K001-1237.jpg,"(102, 70, 49)"
K001-1240,MUSTARD,K001-1240.jpg,"(252, 210, 141)"
K001-1259,OLD GREEN,K001-1259.jpg,"(123, 171, 123)"
K001-1263,OLIVE,K001-1263.jpg,"(150, 142, 46)"
K001-1332,SIENNA,K001-1332.jpg,"(192, 85, 61)"
K001-1361,SPRUCE,K001-1361.jpg,"(9, 70, 57)"
K001-1384,WATERMELON,K001-1384.jpg,"(244, 48, 80)"
K001-1451,AVOCADO,K001-1451.jpg,"(86, 86, 19)"
K001-1452,DENIM,K001-1452.jpg,"(97, 129, 178)"
K001-1484,LUPINE,K001-1484.jpg,"(199, 143, 188)"
K001-1704,OCHRE,K001-1704.jpg,"(239, 169, 56)"
K001-45,POOL,K001-45.jpg,"(22, 222, 208)"
K001-186,STRAW,K001-186.jpg,"(204, 177, 126)"
K001-201,SWEET PEA,K001-201.jpg,"(163, 140, 85)"
K001-233,CELESTIAL,K001-233.jpg,"(5, 79, 111)"
K001-295,GRAPHITE,K001-295.jpg,"(94, 100, 98)"
K001-440,BREAKERS,K001-440.jpg,"(6, 162, 173)"
K001-441,BONSAI,K001-441.jpg,"(151, 149, 38)"
K001-442,CAPRI,K001-442.jpg,"(60, 225, 226)"
K001-443,CEDAR,K001-443.jpg,"(201, 106, 23)"
K001-444,FOG,K001-444.jpg,"(154, 189, 196)"
K001-445,KALE,K001-445.jpg,"(5, 168, 125)"
K001-446,OASIS,K001-446.jpg,"(6, 105, 144)"
K001-447,PUNCH,K001-447.jpg,"(246, 81, 100)"
K001-448,STRATOSPHERE,K001-448.jpg,"(51, 165, 224)"
K001-449,SUNNY,K001-449.jpg,"(252, 180, 4)"
K001-450,TORCH,K001-450.jpg,"(251, 105, 9)"
K001-451,VALENTINE,K001-451.jpg,"(217, 49, 127)"
K001-452,WASABI,K001-452.jpg,"(230, 202, 46)"
K001-453,PESTO,K001-453.jpg,"(9, 90, 50)"
K001-454,PRUSSIAN,K001-454.jpg,"(6, 52, 90)"
K001-455,RIVIERA,K001-455.jpg,"(5, 51, 130)"
K001-456,SHALE,K001-456.jpg,"(135, 155, 143)"
K001-457,SHADOW,K001-457.jpg,"(204, 203, 201)"
K001-458,STORM,K001-458.jpg,"(11, 39, 63)"
K001-1031,BLUEGRASS,K001-1031.jpg,"(7, 164, 133)"
K001-1333,SILVER,K001-1333.jpg,"(224, 225, 229)"
K001-1386,WHEAT,K001-1386.jpg,"(200, 161, 120)"
K001-1388,WILLOW,K001-1388.jpg,"(5, 106, 82)"
K001-1390,WINE,K001-1390.jpg,"(155, 26, 43)"
K001-1470,PEWTER,K001-1470.jpg,"(135, 133, 121)"
K001-1474,CYPRESS,K001-1474.jpg,"(27, 197, 156)"
K001-1713,SMOKE,K001-1713.jpg,"(155, 150, 138)"
K001-84,PERSIMMON,K001-84.jpg,"(249, 126, 49)"
K001-1007,ASH,K001-1007.jpg,"(193, 190, 184)"
K001-1037,BONE,K001-1037.jpg,"(247, 246, 237)"
K001-1062,CANDY PINK,K001-1062.jpg,"(250, 140, 188)"
K001-1071,CHARCOAL,K001-1071.jpg,"(51, 51, 51)"
K001-1145,FOREST,K001-1145.jpg,"(23, 71, 49)"
K001-1192,LIME,K001-1192.jpg,"(142, 153, 34)"
K001-1238,MOSS,K001-1238.jpg,"(103, 87, 37)"
K001-91,STEEL,K001-91.jpg,"(93, 100, 106)"
K001-171,WATER,K001-171.jpg,"(21, 166, 218)"
K001-189,BABY PINK,K001-189.jpg,"(251, 195, 207)"
K001-190,CAMELLIA,K001-190.jpg,"(247, 95, 116)"
K001-197,ALOE,K001-197.jpg,"(125, 214, 181)"
K001-254,SPROUT,K001-254.jpg,"(199, 220, 100)"
K001-323,FLAME,K001-323.jpg,"(239, 61, 8)"
K001-327,TULIP,K001-327.jpg,"(102, 67, 125)"
K001-347,ARTICHOKE,K001-347.jpg,"(179, 170, 74)"
K001-400,CARROT,K001-400.jpg,"(249, 112, 42)"
K001-405,ALEGRIA,K001-405.jpg,"(62, 181, 227)"
K001-406,CAPPUCCINO,K001-406.jpg,"(101, 77, 49)"
K001-407,CHESTNUT,K001-407.jpg,"(91, 63, 17)"
K001-408,IRON,K001-408.jpg,"(172, 180, 183)"
K001-409,JUNIPER,K001-409.jpg,"(42, 75, 43)"
K001-410,KUMQUAT,K001-410.jpg,"(250, 118, 32)"
K001-411,LEPRECHAUN,K001-411.jpg,"(79, 189, 80)"
K001-412,NAUTICAL,K001-412.jpg,"(16, 33, 56)"
K001-413,PARCHMENT,K001-413.jpg,"(200, 187, 163)"
K001-414,PEAPOD,K001-414.jpg,"(188, 187, 9)"
K001-415,REGAL,K001-415.jpg,"(40, 41, 90)"
K001-419,AZALEA,K001-419.jpg,"(247, 87, 128)"
K001-1003,AMETHYST,K001-1003.jpg,"(120, 109, 169)"
K001-1005,AQUA,K001-1005.jpg,"(169, 242, 234)"
K001-1009,AZURE,K001-1009.jpg,"(105, 233, 233)"
K001-1010,BABY BLUE,K001-1010.jpg,"(184, 238, 244)"
K001-1011,BAHAMA BLUE,K001-1011.jpg,"(106, 231, 245)"
K001-1017,BISON,K001-1017.jpg,"(120, 101, 69)"
K001-1019,BLACK,K001-1019.jpg,"(34, 36, 35)"
K001-1028,BLUE,K001-1028.jpg,"(199, 234, 243)"
K001-1029,BLUE BELL,K001-1029.jpg,"(159, 190, 218)"
K001-1036,BLUSH PINK,K001-1036.jpg,"(233, 118, 144)"
K001-1077,CITRUS,K001-1077.jpg,"(251, 213, 20)"
K001-1194,LIPSTICK,K001-1194.jpg,"(239, 9, 29)"
K001-1239,MUSHROOM,K001-1239.jpg,"(146, 131, 104)"
K001-1243,NAVY,K001-1243.jpg,"(14, 43, 53)"
K001-1268,OYSTER,K001-1268.jpg,"(244, 241, 223)"
K001-1282,PEACOCK,K001-1282.jpg,"(21, 182, 221)"
K001-1296,POPPY,K001-1296.jpg,"(220, 25, 38)"
K001-1303,PUTTY,K001-1303.jpg,"(238, 231, 203)"
K001-1336,SLATE,K001-1336.jpg,"(92, 107, 130)"
K001-1339,SNOW,K001-1339.jpg,"(247, 245, 233)"
K001-1387,WHITE,K001-1387.jpg,"(246, 246, 248)"
K001-1392,WISTERIA,K001-1392.jpg,"(162, 126, 190)"
K001-1473,BISCUIT,K001-1473.jpg,"(169, 138, 91)"
K001-1479,AMBER,K001-1479.jpg,"(230, 139, 47)"
K001-1551,RICH RED,K001-1551.jpg,"(164, 14, 29)"
K001-159,SPICE,K001-159.jpg,"(180, 77, 34)"
K001-200,POND,K001-200.jpg,"(153, 233, 189)"
K001-261,BUBBLE GUM,K001-261.jpg,"(250, 153, 174)"
K001-274,PRIMROSE,K001-274.jpg,"(248, 177, 171)"
K001-340,HERB,K001-340.jpg,"(138, 119, 84)"
K001-348,ASPARAGUS,K001-348.jpg,"(134, 207, 129)"
K001-349,BUTTERSCOTCH,K001-349.jpg,"(237, 159, 64)"
K001-350,CHEDDAR,K001-350.jpg,"(251, 180, 68)"
K001-351,GREEN TEA,K001-351.jpg,"(193, 208, 122)"
K001-352,RUBY,K001-352.jpg,"(165, 14, 30)"
K001-353,SUNFLOWER,K001-353.jpg,"(251, 202, 78)"
K001-354,ZUCCHINI,K001-354.jpg,"(219, 198, 108)"
K001-355,CAYENNE,K001-355.jpg,"(172, 49, 40)"
K001-356,EVERGLADE,K001-356.jpg,"(5, 87, 82)"
K001-357,LAPIS,K001-357.jpg,"(72, 91, 158)"
K001-359,PEPPER,K001-359.jpg,"(37, 51, 52)"
K001-362,DUSTY BLUE,K001-362.jpg,"(150, 201, 202)"
